username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
Buenouve;2016/01/01 12:11;0;0;"Bogotá vive un nuevo cambio, que sea para mejorar, adelante @EnriquePenalosa por nuestra ciudad #BogotáMejorParaTodos Gracias";;@EnriquePenalosa;#Bogot;"682972349130477569";https://twitter.com/Buenouve/status/682972349130477569
campeon328;2016/01/01 12:11;0;0;"@Anita_Cardenal7 @EnriquePenalosa a contruir o a destruir jajajaja";Bogotá, D.C., Colombia;@Anita_Cardenal7 @EnriquePenalosa;;"682972345233989632";https://twitter.com/campeon328/status/682972345233989632
kalabaza_avila;2016/01/01 12:11;0;0;"Queremos milagros @EnriquePenalosa";;@EnriquePenalosa;;"682972341740109824";https://twitter.com/kalabaza_avila/status/682972341740109824
ginettelozano;2016/01/01 12:11;0;0;""Vamos a construir una ciudad de la que todos nos sintamos orgullosos" @EnriquePenalosa #BogotáMejorParaTodos";Bogotá, D.C., Colombia;@EnriquePenalosa;#Bogot;"682972338539855876";https://twitter.com/ginettelozano/status/682972338539855876
r_Montenegro;2016/01/01 12:11;2;1;"@EnriquePenalosa hace diagnósticos dice q "no habrá milagros"y pide paciencia para construir #BogotaMejorParaTodos "una ciudad distinta"";;@EnriquePenalosa;#BogotaMejorParaTodos;"682972336748916736";https://twitter.com/r_Montenegro/status/682972336748916736
lizethpedraza;2016/01/01 12:11;0;0;"@Educacionbogota @EnriquePenalosa POR FAVOR RECUPERE EL ESPAIO PUBLICO DESEMPLEO NO PUEDE SER EXCUSA PARA ACABAR CON BOGOTA";;@Educacionbogota @EnriquePenalosa;;"682972335389933569";https://twitter.com/lizethpedraza/status/682972335389933569
jaimes_avellan;2016/01/01 12:11;0;0;""Tenemos un Sitp mal implementado, desbarajustado. El costo para arreglarlo será enorme", @EnriquePenalosa";;@EnriquePenalosa;;"682972315651543040";https://twitter.com/jaimes_avellan/status/682972315651543040
jamesarbelaez21;2016/01/01 12:10;3;3;"@lunadavid @EnriquePenalosa Muchachito Luna, gracias a Dios se fue Petro, pero a Peña hay que apretarle la rienda y hacerle seguimiento.Ojo";;@lunadavid @EnriquePenalosa;;"682972289147736064";https://twitter.com/jamesarbelaez21/status/682972289147736064
Bogota;2016/01/01 12:10;69;81;"“Vamos a superar adversidades, para eso, solicito a todos los ciudadanos paciencia y colaboración”: @EnriquePenalosa #BogotáMejorParaTodos";;@EnriquePenalosa;#Bogot;"682972284223623168";https://twitter.com/Bogota/status/682972284223623168
OmarGamboa;2016/01/01 12:10;2;4;"«Solicito a los ciudadanos paciencia y colaboración. Vamos a hacer de Bogotá una ciudad que nos haga sentir orgullosos.» @EnriquePenalosa";;@EnriquePenalosa;;"682972270634086400";https://twitter.com/OmarGamboa/status/682972270634086400
